id,xmin,ymin,xmax,ymax
1,120,194,279,279
3,245,99,377,193
6,0,0,500,81
10,33,39,136,99
12,123,58,241,123
13,112,314,189,439
14,98,120,250,292
16,174,111,312,200
17,206,112,309,228
19,149,119,370,209
22,30,30,114,72
24,66,30,129,95
25,0,0,500,68
26,80,51,270,148
27,189,151,354,234
28,142,118,303,203
29,198,108,332,203
33,92,56,207,141
34,207,90,500,244
38,241,140,337,275
39,117,73,197,129
44,128,76,250,144
45,104,133,341,205
47,200,157,325,229
48,0,44,299,174
50,252,0,500,47
52,0,0,176,137
54,145,174,243,294
57,238,124,370,202
59,265,82,368,198
61,272,143,410,229
63,95,142,245,222
65,93,75,195,203
68,176,228,316,298
70,0,0,339,100
71,183,48,337,190
76,145,124,296,241
79,196,57,390,220
82,171,156,421,266
83,245,116,377,283
85,113,200,249,359
87,58,187,212,258
88,178,159,332,244
90,205,78,341,159
91,125,35,254,109
92,325,66,500,191
93,220,123,359,215
94,247,32,379,108
95,0,0,500,71
98,156,80,305,153
100,149,92,294,166
101,158,126,310,211
103,187,98,350,233
106,93,90,227,175
107,198,133,328,226
108,176,108,352,213
112,234,209,386,288
114,62,59,325,147
118,162,100,303,229
119,98,80,276,152
126,109,149,285,240
129,162,90,323,179
130,140,82,426,225
132,69,46,252,130
133,109,204,305,282
134,127,121,258,201
135,131,173,370,248
139,157,138,251,258
144,300,60,437,159
146,104,86,252,156
147,194,37,345,105
149,145,0,225,61
150,243,43,390,118
154,198,135,343,240
155,180,155,388,232
156,223,115,399,190
157,124,89,289,204
161,165,83,500,192
162,127,147,258,265
163,247,177,381,289
165,352,79,500,185
167,214,107,351,171
169,187,97,366,212
170,58,0,500,65
171,129,104,243,198
173,216,136,424,209
175,84,102,276,182
178,145,93,261,135
179,223,36,368,126
180,345,91,468,200
183,191,89,303,199
185,0,199,145,333
186,145,107,319,185
190,147,101,303,183
191,167,172,319,256
192,74,0,246,73
193,139,107,258,203
198,174,291,352,364
199,89,66,298,234
200,127,63,252,204
201,194,74,323,156
205,196,128,352,226
207,167,98,308,183
208,212,102,366,215
210,185,102,348,244
211,124,0,229,98
212,183,49,357,108
214,118,118,265,223
217,189,75,299,180
219,196,136,310,256
223,243,90,368,182
226,132,95,246,198
229,0,247,63,433
231,140,192,419,274
233,145,95,243,256
234,178,140,334,222
236,73,306,267,398
237,104,0,194,83
239,0,0,475,58
240,105,0,242,209
244,84,54,179,113
246,151,143,287,262
251,95,53,227,174
252,34,0,111,54
255,110,0,195,98
259,100,43,189,122
260,124,57,202,146
265,250,48,366,184
271,138,116,321,249
277,154,0,345,97
279,193,0,301,76
282,0,0,376,89
286,176,122,383,239
292,151,203,247,321
298,66,135,203,267
300,0,0,324,95
304,112,109,246,231
308,71,153,270,275
309,77,95,155,159
311,193,125,304,215
312,71,127,330,218
314,102,102,239,249
315,101,189,173,288
325,111,42,290,109
329,179,232,335,323
330,154,0,262,109
337,119,124,205,235
340,94,205,216,294
343,128,125,227,227
344,165,41,308,135
346,64,97,290,168
348,156,90,334,147
350,96,209,231,294
351,0,0,500,61
352,104,66,205,220
354,54,148,204,210
356,267,130,441,222
357,125,179,292,242
360,328,133,445,267
363,165,89,428,161
365,95,145,341,267
369,130,42,286,156
370,129,0,303,63
371,61,161,194,245
372,173,133,299,223
373,78,55,129,93
381,361,81,500,160
382,82,104,187,212
383,114,65,226,146
384,160,70,316,159
386,93,45,146,97
387,148,78,235,216
389,140,152,294,268
391,0,0,400,57
394,0,31,141,107
405,125,69,184,117
407,62,81,201,136
408,176,185,312,274
410,0,59,71,145
412,176,34,319,109
419,162,103,299,195
420,0,96,500,333
422,0,78,500,333
424,156,133,310,220
425,258,220,415,287
430,243,110,345,228
434,156,168,328,256
435,232,127,397,208
438,147,218,260,350
439,151,116,285,223
440,171,204,321,287
442,140,150,245,280
443,58,69,185,167
445,183,117,319,190
447,151,256,341,348
448,223,145,368,221
449,183,147,366,256
